TimePeriod,GeoType,GeoID,GeoRank,Geography,Asian alone (percent),Black alone (percent),Hispanic alone (percent),Non-white (percent),Total population,White alone (percent)
2017-21,CDTA2020,6109,7,Morningside Heights-Hamilton Heights (CD 9),8.2,22.3,39.7,74.1,"115,788",25.9
2017-21,CDTA2020,6110,7,Harlem (CD 10),3.8,53.0,23.5,84.3,"133,831",15.7
2017-21,CDTA2020,6111,7,East Harlem (CD 11),8.3,30.3,43.7,85.6,"124,493",14.4
2017-21,CDTA2020,6112,7,Washington Heights-Inwood (CD 12),3.1,6.6,67.9,80.1,"208,973",19.9
2017-21,CDTA2020,8101,7,Astoria-Queensbridge (CD 1),14.6,5.7,26.1,51.0,"172,329",49.0
2017-21,CDTA2020,8102,7,Long Island City-Sunnyside-Woodside (CD 2),34.0,1.7,31.0,70.0,"123,037",30.0
2017-21,CDTA2020,8103,7,Jackson Heights-East Elmhurst (CD 3),18.5,6.0,61.4,88.2,"161,648",11.8
2017-21,CDTA2020,8104,7,Elmhurst-Corona (CD 4),34.4,4.0,53.7,94.1,"177,666",5.9
2017-21,CDTA2020,8105,7,Ridgewood-Maspeth-Middle Village (CD 5),9.1,1.4,38.6,51.4,"190,881",48.6
2017-21,CDTA2020,8106,7,Forest Hills-Rego Park (CD 6),30.0,3.2,16.1,54.3,"122,786",45.7
2017-21,CDTA2020,8107,7,Flushing-Murray Hill-Whitestone (CD 7),53.1,1.7,17.9,74.7,"253,104",25.3
2017-21,CDTA2020,8108,7,Fresh Meadows-Hillcrest-Briarwood (CD 8),32.2,13.2,19.2,69.5,"160,231",30.5
2017-21,CDTA2020,8109,7,Kew Gardens-Richmond Hill-Woodhaven (CD 9),25.9,6.7,41.6,82.4,"151,879",17.6
2017-21,CDTA2020,8110,7,South Ozone Park-Howard Beach (CD 10),26.0,13.4,25.8,79.8,"143,380",20.2
2017-21,CDTA2020,8111,7,Auburndale-Bayside-Douglaston (CD 11),44.2,2.3,13.9,63.1,"126,016",36.9
2017-21,CDTA2020,8112,7,Jamaica-St. Albans-Hollis (CD 12),14.7,57.5,16.4,97.6,"260,024",2.4
